Packet Size,Flow Duration,tls_entropy,label
439.7371322,145.852071,0.882384427,0
521.8423885,142.9753988,0.838293152,0
526.3370252,173.0230419,0.826526281,0
443.4048035,136.0974692,0.826713512,0
419.3569817,92.60159266,0.763754108,0
355.0169977,119.6150664,0.865712367,0
327.358074,107.630889,0.923282438,0
381.937896,152.0258461,0.778762591,0
356.449382,153.3276777,0.792450321,0
430.0558415,131.9808393,0.835415313,0
351.863471,205.5683455,0.849325139,0
315.3831257,174.6763474,0.788957818,0
416.7090876,91.20989628,0.783590698,0
415.7488989,172.1539974,0.858568414,0
390.7481374,140.9668891,0.7760739,0
342.4124633,136.1808369,0.902856111,0
427.4894632,97.10879534,0.866204198,0
369.1934176,129.69234,0.880583814,0
482.4799618,177.9384036,0.808039124,0
375.2630099,159.9379029,0.898777256,0
361.666061,144.4302307,0.794683251,0
304.3034701,174.3757747,0.917812001,0
394.2391903,180.1059869,0.868081801,0
348.3904196,160.8418682,0.926901828,0
397.1339169,196.9393097,0.719012745,0
465.7522004,152.611412,0.835049632,0
407.3408621,90.37293256,0.839016406,0
428.5690057,194.3368213,0.824086489,0
335.3205118,134.9472887,0.895770106,0
426.3000888,134.1071939,0.875663372,0
407.7662039,179.0593497,0.814897345,0
373.7870283,138.2367554,0.776824253,0
423.6896222,157.8316582,0.850255673,0
381.2330293,107.5388777,0.828967734,0
372.5828387,125.9316819,0.841935714,0
432.3240685,206.585577,0.858728891,0
420.6040313,147.7666225,0.754061439,0
397.87889,151.8069063,0.973162106,0
384.6111228,159.0464203,0.848264412,0
306.505757,184.2846844,0.887596652,0
463.2825558,122.7183764,0.920139716,0
287.851915,167.6057128,0.959522781,0
320.757094,133.0110681,0.854982568,0
359.7219477,103.4800971,0.853428149,0
315.0157029,164.2077729,0.804028788,0
523.9947524,126.5024012,0.833896924,0
465.0813774,113.0740705,0.861372997,0
504.5714203,101.775503,0.859231693,0
420.7906235,173.4546862,0.788152464,0
294.363471,165.658247,0.864849234,0
420.039428,160.3934463,0.815998764,0
418.5802958,158.7921742,0.814282429,0
549.2619609,164.2149876,0.790434825,0
452.5242887,120.7595499,0.88935423,0
492.6876463,125.3795304,0.898168806,0
433.0224742,174.6618048,0.944839649,0
380.3689507,127.3879151,0.805524279,0
334.7351772,147.6869487,0.867057599,0
422.1352639,174.8154975,0.850650095,0
516.2827262,142.060295,0.986008458,0
450.0533878,124.2852733,0.796455375,0
438.5977932,143.2961164,0.885700025,0
437.85901,147.8151326,0.807660314,0
278.812222,136.6045514,0.89281994,0
417.1274995,112.6278366,0.858659046,0
430.8253904,123.4842769,0.857686255,0
404.6566975,115.7108911,0.867889368,0
444.8627621,182.4915373,0.902690103,0
289.7864506,121.8652488,0.875751763,0
441.1028761,165.4514306,1.042636575,0
445.6712409,184.0669692,0.897700088,0
